OptimizeOldGC 优化前的日志

 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0   1102.5 81920.0  10240.0   102400.0   40962.1   4864.0 3232.4 512.0  349.3       1    0.018   0      0.000    0.018
10240.0 10240.0 1100.2  0.0   81920.0  23648.8   102400.0   71684.2   4864.0 3233.0 512.0  349.3       2    0.031   1      0.000    0.031
10240.0 10240.0  0.0    0.0   81920.0  32263.9   102400.0   21377.2   4864.0 3233.2 512.0  349.3       3    0.031   2      0.007    0.038
10240.0 10240.0  0.0    0.0   81920.0  42524.9   102400.0   31619.3   4864.0 3233.2 512.0  349.3       4    0.035   2      0.007    0.042
10240.0 10240.0  0.0    0.0   81920.0  52778.4   102400.0   41861.3   4864.0 3233.2 512.0  349.3       5    0.038   2      0.007    0.045
10240.0 10240.0  0.0    0.0   81920.0  63027.1   102400.0   52103.4   4864.0 3233.2 512.0  349.3       6    0.042   3      0.007    0.049
10240.0 10240.0  0.0    0.0   81920.0  73272.7   102400.0   21383.4   4864.0 3233.2 512.0  349.3       7    0.044   4      0.009    0.053
