jstat打印出来的日志

 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   4915.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0   9316.2   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  14317.0   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  20956.2   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  25957.0   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  30957.8   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  35958.5   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  40959.3   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
10240.0 10240.0  0.0    0.0   81920.0  45960.1   102400.0     0.0     4480.0 775.8  384.0   76.4       0    0.000   0      0.000    0.000
